SampleID,Condition,Expression
5c32fbb8-55ee-4bc9-a0db-d8ac0b04bdc4,Primary Tumor,6.4132318739155085
a6298ad5-dd68-44f6-85cf-f1d2c7673aa3,Solid Tissue Normal,6.561104612902671
490ee22a-f171-4f7f-9d49-835afe7388c1,Primary Tumor,6.663805707074271
975121d2-ba5d-4b2c-bd50-278311c7144a,Primary Tumor,7.079733300642452
30e51b69-6778-4125-bb18-86694d42a6e9,Primary Tumor,7.272980560977765
05fa4573-6ca5-40dc-a48b-ec847b7c58ad,Primary Tumor,5.714207045285399
360ebab8-859c-4286-b613-befa0fa306f0,Primary Tumor,7.490771471186631
929473bf-434c-438e-b16c-c34bfb0b98ea,Primary Tumor,8.099199456375915
2e5071ce-d8cf-46e5-9cc0-91353f0d643c,Primary Tumor,7.167402087919307
58390e08-43b2-4517-b57c-ff899594e55a,Primary Tumor,6.989862217709698
1120d776-47df-4f72-862e-427d3c44dd43,Primary Tumor,0.33708307631078743
f90939c7-6e24-4aa5-8c34-c1fc1b79e485,Primary Tumor,6.981643766971669
0c09a94d-8885-49fb-91c1-aa0ebf52386a,Primary Tumor,7.1842435917271965
b45e937f-da60-4259-8fa2-e64ee4fdbe95,Primary Tumor,7.274847753548504
ffec28dd-cc44-4057-bcc3-ccc0cd2331c2,Primary Tumor,6.614140014268108
b5c6258a-8591-4f96-81d5-8ecc931b57a8,Primary Tumor,5.8214984885932735
db61f20e-e44a-4992-a9f6-b54fc2dedfb6,Primary Tumor,6.072588190668184
2ff24c33-39c6-4171-af42-f54e4ee8b021,Solid Tissue Normal,6.899903079769036
94613d97-0a68-4212-beef-3c97a0b363ef,Solid Tissue Normal,6.812943543768097
5fa5664e-daf5-4082-8d39-703a5d650e43,Primary Tumor,7.677971871031432
a4c14abb-5b10-41df-9da5-39f1ee194b7c,Primary Tumor,8.543618061901595
9a6d8661-241e-4a3e-a6fa-e2eb1962b758,Primary Tumor,6.2503723274831735
25f44be3-2e4f-4121-ac23-21bd3866dbce,Primary Tumor,5.463177757870192
8e510682-b05c-4792-a149-d713db6d082d,Primary Tumor,0.3787335592653803
27450388-ffc7-4812-b5b4-9819b0a74a0b,Primary Tumor,6.742201629974886
119e7a6c-7fd1-4a2d-bfdc-35cb13d39414,Primary Tumor,7.434332152899974
42be8d70-f8a0-49ea-94a9-58e320337843,Primary Tumor,7.175214192658802
8b071bf3-0d85-4aba-aa46-d0800dcc8640,Primary Tumor,0.6957266226209635
32046abb-8476-4e4f-8090-1ce003107490,Primary Tumor,0.08188496672922738
51ec5a15-11e8-435a-a3e0-2a99690309b9,Primary Tumor,5.06619254401226
aca8bace-37c5-4ec0-958c-13907ae97d1f,Primary Tumor,7.790744022828997
36e8195f-72b1-4d87-9be5-a487689aba5e,Primary Tumor,7.368892292638217
b7006975-82c2-4fcc-855d-5ef024ef3d4f,Primary Tumor,8.254823130530058
bb5264e1-0dbf-4b28-9fbe-0a8602c13369,Primary Tumor,7.7502628055793075
d84121c5-5421-43a4-825a-40f357ecc97b,Primary Tumor,6.990064243093254
946692ad-ed52-4bd8-85ac-efe5178b15b4,Primary Tumor,4.562053105783962
edfdd711-4764-43a7-9948-4320dc17b2b1,Primary Tumor,8.123774299356144
1c9ada61-d900-4498-9ef1-14a91212faf6,Primary Tumor,6.8816462674179935
f51ce896-53bf-4f3b-ac5f-a499b84a7add,Primary Tumor,8.207595187015462
df03bdab-42a9-4467-a767-b584bb60e926,Primary Tumor,6.918052238602539
e3339500-9481-4a24-a3b8-65b86dabc920,Primary Tumor,7.220486676917088
dba9c344-546c-49db-91df-abd25ae4b0cc,Primary Tumor,6.974739231365379
2c81c69f-e08a-4586-b3f9-33d4af417d1f,Primary Tumor,7.5962471645722855
8be16a1a-383f-4365-b1e5-139b1625e3ce,Primary Tumor,6.690819340159926
e585878b-98af-4e3f-b03c-6b5a4e7a202c,Primary Tumor,7.540969575132527
e6629c88-a050-41ed-afe7-e74255f4d3b1,Primary Tumor,7.436922206031592
ace52699-f049-4a11-ab3d-ce3719c62e41,Primary Tumor,7.706176880379601
1a06f92b-21c5-4666-b666-8b9135a4482a,Solid Tissue Normal,7.389520350177159
fb60fc57-836c-42e1-bc96-042b82d1a878,Primary Tumor,6.979466353354757
ece9f585-2710-4e10-b292-c5fbf588eda9,Primary Tumor,7.907652017399573
77819b24-ea90-427b-8a99-c9a90417c903,Primary Tumor,7.100503607540267
da428df4-37ee-43d6-9090-7b94d67968e9,Primary Tumor,6.951686864802514
ad636e79-be59-4821-8303-7d2e7389b22f,Primary Tumor,7.9180593964671
9bf51961-c60a-43df-87eb-a64dae9e4e10,Primary Tumor,6.714165823738964
74b6cce1-6a5b-4f86-8f41-d842106bfe8f,Primary Tumor,7.3905103464642306
2a9f6775-bb04-4262-9eb2-d64a8e027010,Primary Tumor,0.7179121696444288
bd98b566-f179-4be8-8b4d-672149eedcba,Solid Tissue Normal,7.0206777605413135
f7c8bdd7-48f6-4ecd-a4ae-78ffcb2fb28d,Primary Tumor,7.702032738891079
cce2b6af-bff9-4ad0-805d-b32aa6fae985,Primary Tumor,7.700584673966052
e6e83fd4-2f80-44e1-8dce-588a37308dbb,Solid Tissue Normal,5.759470123815758
84f2b69e-86e5-4bf6-a11c-289b1971775f,Primary Tumor,0.7641762763559282
cff4fca2-d0e1-4e90-9d3c-639f995fc9ed,Primary Tumor,5.80874799572071
9f1c581d-42a9-4067-8b91-5d309457b5e8,Primary Tumor,6.6376276335748035
074b0792-df3c-4b59-9f50-793bc14bcb81,Primary Tumor,3.8053853299743725
a0fce6cc-a525-4970-82b7-8512bb0708b3,Primary Tumor,6.846632463885099
f8670621-43a9-491c-81b7-8999ca9975a7,Primary Tumor,7.873749230244055
1098101e-1770-4055-ae41-d6c15e1c7b90,Primary Tumor,3.1441279677073304
